time_s,flux_Wb,emf_V,current_A,power_W,cumulative_energy_J
0.0147,-0.02635033,-87.574204,-7.29785,639.103438,4.64962596
0.0148,-0.01758135,-87.791016,-7.315918,642.271878,4.71373647
0.0149,-0.00879501,-87.921189,-7.326766,644.177957,4.77808815
0.015,0.0,-87.964594,-7.330383,644.814154,4.8425543
0.0151,0.00879501,-87.921189,-7.326766,644.177957,4.90700772
0.0152,0.01758135,-87.791016,-7.315918,642.271878,4.97132129
0.0153,0.02635033,-87.574204,-7.29785,639.103438,5.03536842
0.0154,0.03509331,-87.270967,-7.272581,634.685143,5.09902361
0.0155,0.04380165,-86.881604,-7.240134,629.034429,5.16216285
0.0156,0.05246677,-86.406499,-7.200542,622.173596,5.22466423
0.0157,0.06108011,-85.846122,-7.153844,614.129722,5.2864083
0.0158,0.06963317,-85.201025,-7.100085,604.934552,5.34727863
0.0159,0.07811751,-84.471844,-7.03932,594.624376,5.40716224
0.016,0.08652476,-83.659301,-6.971608,583.239882,5.46595003
0.0161,0.09484662,-82.764195,-6.897016,570.826,5.52353723
0.0162,0.10307487,-81.787411,-6.815618,557.431722,5.57982381
0.0163,0.11120141,-80.729913,-6.727493,543.109909,5.63471487
0.0164,0.1192182,-79.592745,-6.632729,527.917083,5.68812103
0.0165,0.12711734,-78.377027,-6.531419,511.913202,5.73995874
0.0166,0.13489103,-77.083962,-6.423663,495.161428,5.79015068
0.0167,0.1425316,-75.714823,-6.309569,477.727871,5.83862599
0.0168,0.1500315,-74.270963,-6.189247,459.681334,5.88532061
0.0169,0.15738335,-72.753807,-6.062817,441.093038,5.93017749
0.017,0.16457987,-71.164852,-5.930404,422.036343,5.97314684
0.0171,0.17161398,-69.505665,-5.792139,402.586457,6.01418632
0.0172,0.17847872,-67.777885,-5.648157,382.820139,6.05326121
0.0173,0.18516732,-65.983216,-5.498601,362.815399,6.09034453
0.0174,0.19167319,-64.12343,-5.343619,342.651185,6.12541718
0.0175,0.1979899,-62.200361,-5.183363,322.407077,6.15846797
0.0176,0.20411122,-60.215908,-5.017992,302.162969,6.18949371
0.0177,0.2100311,-58.17203,-4.847669,281.998756,6.2184992
0.0178,0.21574371,-56.070743,-4.672562,261.994015,6.24549719
0.0179,0.2212434,-53.91412,-4.492843,242.227697,6.27050839
0.018,0.22652476,-51.704291,-4.308691,222.777811,6.29356133
0.0181,0.23158256,-49.443436,-4.120286,203.721116,6.31469226
0.0182,0.23641182,-47.133787,-3.927816,185.13282,6.33394503
0.0183,0.24100777,-44.777622,-3.731468,167.086283,6.3513709
0.0184,0.24536587,-42.377266,-3.531439,149.652726,6.36702833
0.0185,0.24948183,-39.93509,-3.327924,132.900952,6.38098277
0.0186,0.25335157,-37.453503,-3.121125,116.897072,6.3933064
0.0187,0.2569713,-34.934953,-2.911246,101.704246,6.4040778
0.0188,0.26033742,-32.381927,-2.698494,87.382433,6.41338172
0.0189,0.26344662,-29.796944,-2.483079,73.988155,6.42130867
0.019,0.26629582,-27.182555,-2.265213,61.574273,6.4279546
0.0191,0.26888223,-24.541339,-2.045112,50.189779,6.43342054
0.0192,0.27120329,-21.875905,-1.822992,39.879602,6.43781214
0.0193,0.27325669,-19.188882,-1.599073,30.684432,6.44123932
0.0194,0.27504043,-16.482921,-1.373577,22.640558,6.44381579
0.0195,0.27655274,-13.760694,-1.146725,15.779726,6.44565862
0.0196,0.27779212,-11.024887,-0.918741,10.129011,6.44688777
0.0197,0.27875735,-8.2782,-0.68985,5.710716,6.44762564
0.0198,0.27944748,-5.523343,-0.460279,2.542276,6.44799654
0.0199,0.27986184,-2.763035,-0.230253,0.636197,6.44812627
0.02,0.28,-0.0,-0.0,0.0,6.44814154
0.0201,0.27986184,2.763035,0.230253,0.636197,6.44816954
0.0202,0.27944748,5.523343,0.460279,2.542276,6.44833739
0.0203,0.27875735,8.2782,0.68985,5.710716,6.44877166
0.0204,0.27779212,11.024887,0.918741,10.129011,6.4495979
0.0205,0.27655274,13.760694,1.146725,15.779726,6.45094006
0.0206,0.27504043,16.482921,1.373577,22.640558,6.45292011
0.0207,0.27325669,19.188882,1.599073,30.684432,6.45565745
0.0208,0.27120329,21.875905,1.822992,39.879602,6.45926853
0.0209,0.26888223,24.541339,2.045112,50.189779,6.46386634
0.021,0.26629582,27.182555,2.265213,61.574273,6.46955997
0.0211,0.26344662,29.796944,2.483079,73.988155,6.47645418
0.0212,0.26033742,32.381927,2.698494,87.382433,6.48464902
0.0213,0.2569713,34.934953,2.911246,101.704246,6.49423937
0.0214,0.25335157,37.453503,3.121125,116.897072,6.50531463
0.0215,0.24948183,39.93509,3.327924,132.900952,6.51795833
0.0216,0.24536587,42.377266,3.531439,149.652726,6.53224781
0.0217,0.24100777,44.777622,3.731468,167.086283,6.54825391
0.0218,0.23641182,47.133787,3.927816,185.13282,6.56604071
0.0219,0.23158256,49.443436,4.120286,203.721116,6.58566525
0.022,0.22652476,51.704291,4.308691,222.777811,6.60717731
0.0221,0.2212434,53.91412,4.492843,242.227697,6.63061924
0.0222,0.21574371,56.070743,4.672562,261.994015,6.65602577
0.0223,0.2100311,58.17203,4.847669,281.998756,6.68342386
0.0224,0.20411122,60.215908,5.017992,302.162969,6.71283263
0.0225,0.1979899,62.200361,5.183363,322.407077,6.74426326
0.0226,0.19167319,64.12343,5.343619,342.651185,6.77771893
0.0227,0.18516732,65.983216,5.498601,362.815399,6.81319486
0.0228,0.17847872,67.777885,5.648157,382.820139,6.85067828
0.0229,0.17161398,69.505665,5.792139,402.586457,6.89014849
0.023,0.16457987,71.164852,5.930404,422.036343,6.93157697
0.0231,0.15738335,72.753807,6.062817,441.093038,6.97492746
0.0232,0.1500315,74.270963,6.189247,459.681334,7.0201561
